product,node_id,intent,target
flexipay,N02_CONFIRM_CARDHOLDER,CONFIRM_IDENTITY,N03_PURPOSE
flexipay,N02_CONFIRM_CARDHOLDER,AGREE,N03_PURPOSE
flexipay,N02_CONFIRM_CARDHOLDER,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
flexipay,N04_PITCH,INTERESTED,N05_TERMS
flexipay,N04_PITCH,AGREE,N05_TERMS
flexipay,N04_PITCH,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
flexipay,N04_PITCH,NEED_TIME,N10_OBJECTION_NEED_TIME
flexipay,N04_PITCH,IS_THIS_GENUINE,N11_OBJECTION_TRUST
flexipay,N04_PITCH,HOW_DID_YOU_GET_NUMBER,N12_HOW_GOT_NUMBER
flexipay,N06_AGREEMENT_PROBE,AGREE,N07_PRE_TRANSFER
flexipay,N06_AGREEMENT_PROBE,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
flexipay,N06_AGREEMENT_PROBE,NEED_TIME,N10_OBJECTION_NEED_TIME
flexipay,N10_OBJECTION_NEED_TIME,AGREE,N05_TERMS
flexipay,N10_OBJECTION_NEED_TIME,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
flexipay,N11_OBJECTION_TRUST,AGREE,N04_PITCH
flexipay,N11_OBJECTION_TRUST,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
flexipay,N12_HOW_GOT_NUMBER,AGREE,N04_PITCH
flexipay,N12_HOW_GOT_NUMBER,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
flexipay,N31_BUSY,AGREE,N20_CALLBACK
flexipay,N31_BUSY,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
flexipay,N50_SILENCE_REPROMPT,AGREE,__RESUME__
flexipay,N50_SILENCE_REPROMPT,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N02_CONFIRM_CARDHOLDER,CONFIRM_IDENTITY,N03_PURPOSE
clip,N02_CONFIRM_CARDHOLDER,AGREE,N03_PURPOSE
clip,N02_CONFIRM_CARDHOLDER,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N04_PITCH,INTERESTED,N05_TERMS
clip,N04_PITCH,AGREE,N05_TERMS
clip,N04_PITCH,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N04_PITCH,NEED_TIME,N10_OBJECTION_NEED_TIME
clip,N04_PITCH,DONT_WANT_MORE_CREDIT,N13_OBJECTION_MORE_CREDIT
clip,N04_PITCH,IS_THIS_GENUINE,N11_OBJECTION_TRUST
clip,N04_PITCH,HOW_DID_YOU_GET_NUMBER,N12_HOW_GOT_NUMBER
clip,N06_AGREEMENT_PROBE,AGREE,N07_PRE_TRANSFER
clip,N06_AGREEMENT_PROBE,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N06_AGREEMENT_PROBE,NEED_TIME,N10_OBJECTION_NEED_TIME
clip,N10_OBJECTION_NEED_TIME,AGREE,N05_TERMS
clip,N10_OBJECTION_NEED_TIME,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N11_OBJECTION_TRUST,AGREE,N04_PITCH
clip,N11_OBJECTION_TRUST,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N12_HOW_GOT_NUMBER,AGREE,N04_PITCH
clip,N12_HOW_GOT_NUMBER,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N13_OBJECTION_MORE_CREDIT,AGREE,N05_TERMS
clip,N13_OBJECTION_MORE_CREDIT,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N31_BUSY,AGREE,N20_CALLBACK
clip,N31_BUSY,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
clip,N50_SILENCE_REPROMPT,AGREE,__RESUME__
clip,N50_SILENCE_REPROMPT,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N02_CONFIRM_CARDHOLDER,CONFIRM_IDENTITY,N03_PURPOSE
multicarding,N02_CONFIRM_CARDHOLDER,AGREE,N03_PURPOSE
multicarding,N02_CONFIRM_CARDHOLDER,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N04_PITCH,INTERESTED,N05_TERMS
multicarding,N04_PITCH,AGREE,N05_TERMS
multicarding,N04_PITCH,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N04_PITCH,NEED_TIME,N10_OBJECTION_NEED_TIME
multicarding,N04_PITCH,ALREADY_HAVE_CARD,N14_OBJECTION_ALREADY_HAVE
multicarding,N04_PITCH,IS_THIS_GENUINE,N11_OBJECTION_TRUST
multicarding,N04_PITCH,HOW_DID_YOU_GET_NUMBER,N12_HOW_GOT_NUMBER
multicarding,N06_AGREEMENT_PROBE,AGREE,N07_PRE_TRANSFER
multicarding,N06_AGREEMENT_PROBE,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N06_AGREEMENT_PROBE,NEED_TIME,N10_OBJECTION_NEED_TIME
multicarding,N10_OBJECTION_NEED_TIME,AGREE,N05_TERMS
multicarding,N10_OBJECTION_NEED_TIME,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N11_OBJECTION_TRUST,AGREE,N04_PITCH
multicarding,N11_OBJECTION_TRUST,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N12_HOW_GOT_NUMBER,AGREE,N04_PITCH
multicarding,N12_HOW_GOT_NUMBER,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N14_OBJECTION_ALREADY_HAVE,AGREE,N05_TERMS
multicarding,N14_OBJECTION_ALREADY_HAVE,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N31_BUSY,AGREE,N20_CALLBACK
multicarding,N31_BUSY,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
multicarding,N50_SILENCE_REPROMPT,AGREE,__RESUME__
multicarding,N50_SILENCE_REPROMPT,NOT_INTERESTED,N40_CLOSE_NOT_INTERESTED
